0.0127	0.10135	0.125
0.0254	0.20064	0.235
0.0381	0.27303	0.3
0.0508	0.31095	0.35
0.0635	0.33094	0.37
0.0762	0.33991	0.41
0.0889	0.34474	0.421
0.1016	0.33577	0.4225
0.1143	0.31508	0.43
0.127	0.29578	0.4275
0.1397	0.27717	0.41
0.1524	0.26131	0.4
0.1651	0.24545	0.3975
0.1778	0.23097	0.388
0.1905	0.21718	0.38
0.2032	0.20339	0.375
0.2159	0.19167	0.365
0.2286	0.17995	0.35
0.2413	0.16823	0.34
0.254  	0.15789	0.3375
0.2667	0.14824	0.33
0.2794	0.13927	0.3
0.2921	0.13238	0.29
0.3048	0.12548	0.2875
0.3175	0.11859	0.28
0.3302	0.11238	0.27
0.3429	0.10687	0.26
0.3556	0.10204	0.247
0.3683	0.09215	0.23
0.381	0.09308	0.2265
0.3937	0.08894	0.2145
0.4064	0.0848	0.2075
0.4191	0.08067	0.1875
0.4318	0.07722	0.17
0.4445	0.07377	0.15
0.4572	0.07032	0.14
0.4699	0.06757	0.11
0.4826	0.06481	0.07
0.4953	0.06205	0.00
0.508	0.05929	0.00
0.5207	0.05654	0.00
0.5334	0.05378	0.00
0.5461	0.05102	0.00
0.5588	0.04826	0.00
0.5715	0.0455	0.00
0.5842	0.04274	0.00
0.5969	0.04067	0.00
0.6096	0.03861	0.00
